Date,Open,High,Low,Close,Volume,SMA_10,SMA_20,RSI,MACD,Volatility,Sector_Index,News_Sentiment,Foreign_Investment,Domestic_Investment,Sector,Market_Trend,Day_of_Week,Is_Holiday,Market_Phase
2007-05-17,12.84,13.68,12.84,13.59,83805.0,13.59,13.59,49.98047184012129,-0.0709969983783346,,3000.542189914098,-0.2784430898237009,196853.0,228272.0,Energy,Bullish,Wednesday,No,Closing
2005-04-05,5.07,5.46,5.07,5.46,3993.0,9.525,9.525,49.98047184012129,0.7502883559750715,,3002.1328352522783,0.1520330626057036,229627.0,-4461.0,Automobile,Bullish,Thursday,No,Opening
2017-09-19,158.94,159.2,157.87,158.16,20668366.0,59.07,59.07,49.98047184012129,-0.3156952305365119,3.0250338006468374,3002.3552222969383,0.5208262106263151,-65994.0,153620.0,Healthcare,Neutral,Friday,No,Midday
2016-10-19,13.2,13.45,13.0,13.35,104798.0,47.64,47.64,49.98047184012129,-0.2356257248338486,3.0227209945678086,3000.672062401253,0.0961233007120259,-144422.0,-8286.0,Automobile,Bullish,Monday,No,Closing
2008-08-27,8.7837,8.883,8.7606,8.861,976272.0,39.88420000000001,39.88420000000001,49.98047184012129,0.2366351503448374,2.4762906681288905,3000.7957161718004,-0.0820428164085449,-107192.0,-22630.0,Automobile,Bullish,Tuesday,No,Opening
2007-10-25,15.65,16.33,15.45,16.05,79828.0,35.911833333333334,35.911833333333334,49.98047184012129,-0.2862396831825733,2.167321572179144,3000.790489119927,-0.4727051532612323,46771.0,139524.0,Finance,Bullish,Wednesday,No,Midday
2017-06-14,48.237,48.246,46.694,47.188,3836284.0,37.52271428571429,37.52271428571429,49.98047184012129,1.0728276647147748,1.984914279243588,3000.756776396879,0.2309830147265033,248449.0,214259.0,Healthcare,Bearish,Thursday,No,Midday
2012-05-29,119.68,126.72,116.48,120.96,2071.0,47.952375,47.952375,49.98047184012129,-0.640811414714707,1.833077059651855,2999.400675275589,0.6544399402716063,-131978.0,-75983.0,Healthcare,Bullish,Friday,No,Opening
2013-04-05,7.57,7.75,7.5,7.7,947027.0,43.479888888888894,43.479888888888894,49.98047184012129,-1.6063690064241771,2.013854003099861,2999.7294960779227,-0.4752011119273456,-129372.0,75446.0,Healthcare,Bullish,Monday,No,Midday
2012-06-20,6.8882,6.8882,6.6745,6.7842,18498681.0,39.81032,39.81032,49.98047184012129,0.590097579422023,,2999.3307952890427,0.5762812529081134,246046.0,174470.0,Automobile,Bearish,Tuesday,No,Closing
1999-03-30,10.721,10.759,10.175,10.247,1535325.0,39.476020000000005,37.12274545454545,49.98047184012129,-0.2502980702833957,1.782873014381518,2999.315817307417,-0.1647848668025084,17725.0,84062.0,Energy,Bearish,Wednesday,No,Opening
2016-03-11,20.521,21.562,20.0,21.354,2526.0,41.06542,35.808683333333335,49.98047184012129,-0.5653414723375474,1.7681534438409419,3000.249020710972,-0.776279060029166,78270.0,157526.0,Healthcare,Bullish,Thursday,No,Opening
1991-06-27,0.21803,0.21803,0.21803,0.21803,6037.0,25.271223,33.07094076923077,49.98047184012129,0.2687398109598061,1.9341992499040237,2999.5986477212805,0.8212667922713817,62924.0,122842.0,Automobile,Neutral,Friday,No,Opening
2007-03-15,3.35,3.5,3.3,3.36,55900.0,24.272223,30.94873071428572,,0.2935737984541507,2.086668228590427,2999.586492902619,0.3632685156680726,202936.0,199534.0,Finance,Neutral,Monday,No,Midday
2007-02-13,20.321,20.988,20.321,20.833,718971.0,25.469423,30.274348666666665,50.61099208073957,-0.5333183300013175,2.172199920959024,2999.4844574201784,0.6820155756367576,142149.0,62306.0,Energy,Bullish,Tuesday,No,Opening
1992-11-30,218.81,221.25,218.81,219.39,239150.0,45.803423,42.094076875,63.658276149211176,0.830822523405993,2.2863155998064917,2999.415262294225,0.3098148482893998,52262.0,191597.0,Finance,Neutral,Wednesday,No,Closing
2014-02-10,16.721,16.968,15.952,16.104,80204.0,42.695023,40.565248823529416,41.48077223438925,0.6033139091682025,2.4329193489709646,2999.09589532505,-0.752931109700181,-27304.0,6534.0,Energy,Bearish,Thursday,No,Opening
