Date,Price,Open,High,Low,Vol.,Change %
12-12-1980,0.13183966451685603,0.12968255660061526,0.12974208303672213,0.12965391657790123,435.81M,-108.78%
12/15/1980,0.12081386154179984,0.12202871655415698,0.11780370084070234,0.11928684757749713,186.38M,-8.85%
12/16/1980,0.1098708553151781,0.11128927682951112,0.11146937014472326,0.10838078251525812,114.74M,-8.53%
12/17/1980,0.11998408169971429,0.11787745798127582,0.12208997194859934,0.11880327342879791,95.01M,8.76%
12/18/1980,0.11765694548603407,0.11983504862669479,0.11847120620872119,0.11858696095076332,67.98M,0.0%
12/19/1980,0.13179064027632445,0.13207372582432733,0.12978354196763978,0.13126782614727012,48.78M,8.38%
12/22/1980,0.12992540469690467,0.13109847475653374,0.12815822493223292,0.13015266004836115,34.0M,0.0%
12/23/1980,0.13888326152944763,0.13936912071548013,0.14170848020842977,0.14122705957971401,48.63M,7.92%
12/24/1980,0.15201230526685738,0.14700150850612811,0.15085503027239736,0.14936029053371816,52.35M,6.76%
12/26/1980,0.1600109288721353,0.16131144939960984,0.16116491070376246,0.15758670849061437,52.64M,7.28%
12/29/1980,0.1571404694694799,0.15878851419888348,0.15698414000220337,0.15821290018511946,98.38M,0.0%
12/30/1980,0.16016602294308893,0.16144831783458596,0.16097700912476917,0.15858097576329797,68.27M,0.0%
12/31/1980,0.1476634033140197,0.1470551500950563,0.14745694700877457,0.1473383869187917,35.24M,-5.86%
01-02-1981,0.15080155762407044,0.15121784518146283,0.15783329452210723,0.15082922520823205,22.11M,0.0%
01-05-1981,0.15119338628178955,0.15286786491010831,0.1522067087927036,0.15080023632303552,37.3M,0.0%
01-06-1981,0.13942826373951292,0.13817283430553728,0.14153729183422828,0.14056529462581444,42.95M,-7.91%
01-07-1981,0.13999971985793172,0.14268104490767933,0.14227348069485884,0.13904227613169426,55.92M,0.0%
01-08-1981,0.13748656817555638,0.14004034939840262,0.13963333919863596,0.13845922523382317,40.29M,0.0%
01-09-1981,0.13739878361943297,0.138542994348276,0.1408469217175024,0.1425581998075135,19.42M,0.0%
01-12-1981,0.1408203622117417,0.13801891944088776,0.13849346809635835,0.13915866211107902,21.83M,0.0%
01/13/1981,0.13977386760268118,0.14131985667538347,0.13863315985075664,0.1382806879539267,25.07M,0.0%
01/14/1981,0.1424981101502988,0.13936644119887806,0.1421672236989234,0.13846129186149442,15.03M,0.0%
01/15/1981,0.13948904888316688,0.1425659817376837,0.14266606511878674,0.13877389800775922,13.77M,0.0%
01/16/1981,0.1419513336300692,0.1415016426765756,0.14012032008660388,0.1385279324540029,14.14M,0.0%
01/19/1981,0.151845787490407,0.15263690904486366,0.14917195600946917,0.15034956708872102,43.93M,7.35%
01/20/1981,0.14135145706664742,0.13847003763093638,0.1372773051147746,0.1422090890553479,31.69M,-5.84%
01/21/1981,0.15159117084602788,0.1492511725861905,0.14889196889993409,0.14835140903450705,16.16M,7.93%
01/22/1981,0.15018230370605926,0.1491671756593043,0.1506736608859234,0.1517361518897728,35.29M,0.0%
01/23/1981,0.15037991470113252,0.14989936165102494,0.15168505792390477,0.1484065407726666,12.21M,0.0%
01/26/1981,0.14109106354870643,0.14145089681749956,0.13923319756577965,0.14075178122586623,26.42M,-7.25%
01/27/1981,0.13834012244064411,0.14054607125782195,0.139992064913224,0.13937075325313011,24.63M,0.0%
01/28/1981,0.14066687493755634,0.1427880846434107,0.14076721649498586,0.14064266496882907,30.92M,0.0%
01/29/1981,0.1299106946383149,0.1322287788818458,0.12749771697045958,0.12853678349145153,41.24M,-8.46%
01/30/1981,0.1276671827029388,0.12955771465535001,0.13109350956652563,0.12842677777724334,46.02M,0.0%
02-02-1981,0.11856423539312524,0.1219137903260812,0.11959214275769808,0.1196518758455369,23.72M,-7.86%
02-03-1981,0.12054107393785839,0.11825946217401602,0.11948578283861398,0.12219011938664018,17.7M,0.0%
02-04-1981,0.12829413351368782,0.1314836296920382,0.13195849724664913,0.12935626114610868,25.68M,8.36%
02-05-1981,0.13112099193778878,0.13183828328569766,0.12945623238571907,0.12829070983608337,8.04M,0.0%
02-06-1981,0.1325301605136215,0.12840275085814815,0.1285336069931274,0.13236276271875078,14.83M,0.0%
02-09-1981,0.1202547709949999,0.12116177005137971,0.12216147778332966,0.11958467385483447,15.48M,-6.44%
02-10-1981,0.11775145609673184,0.11985120354971954,0.11986899660104483,0.12058283247471718,18.72M,0.0%
02-11-1981,0.12239105471870694,0.11811632121957523,0.11764054460977914,0.11998468745282304,14.33M,0.0%
02-12-1981,0.12205476375846863,0.11935298511387436,0.12151376602020958,0.12003866255447718,15.31M,0.0%
02/13/1981,0.11024409778615815,0.11108884424377871,0.10855820845177508,0.11078583292627098,11.22M,-8.08%
